FileKey,ImageSource,OriginalImagePath,SuperResolutionImagePath,Multiplier,scale-invariant-feature-transform_similarity_interpretation,scale-invariant-feature-transform_num_keypoints1,scale-invariant-feature-transform_num_keypoints2,scale-invariant-feature-transform_num_good_matches,scale-invariant-feature-transform_match_ratio,scale-invariant-feature-transform_avg_distance,multi-scale-structural-similarity-index_ms_ssim,multi-scale-structural-similarity-index_resized_similarity,peak-signal-to-noise-ratio_psnr,peak-signal-to-noise-ratio_nsr,learned-perceptual-image-patch-similarity_lpips,learned-perceptual-image-patch-similarity_resized_similarity
0844,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic_X4/X4/0844.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0844.png,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.750, Avg distance: 50.73)",380,837,285,0.75,50.734044059117636,0.9988134503364563,0.0,39.92632170119282,0.025046133913461017,0.008986013010144234,0.0
0845,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic_X4/X4/0845.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0845.png,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.618, Avg distance: 47.95)",1734,15164,1072,0.6182237600922722,47.94780839579319,0.9585391879081726,1.0,22.69666198214519,0.04405934232913506,0.15825772285461426,1.0
0846,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic_X4/X4/0846.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0846.png,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.737, Avg distance: 56.89)",1695,10941,1250,0.7374631268436578,56.89231585063934,0.9623115062713623,0.25,23.829961361866406,0.04196397907720645,0.11720506101846695,0.25
0847,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic_X4/X4/0847.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0847.png,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.738, Avg distance: 54.77)",1748,15721,1290,0.7379862700228833,54.77441063832867,0.9805729389190674,0.0,26.69166020904258,0.037464885742147305,0.07468027621507645,0.0
0848,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic_X4/X4/0848.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0848.png,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.742, Avg distance: 51.46)",1449,10343,1075,0.7418909592822637,51.457427931275475,0.9770514965057373,0.0,26.396147153187755,0.0378843167601918,0.12041137367486954,0.0
0849,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic_X4/X4/0849.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0849.png,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.724, Avg distance: 59.06)",3556,34880,2575,0.7241282339707537,59.06395341493551,0.9775637984275818,0.0,21.066648899948504,0.04746839446317656,0.1253357082605362,0.0
0850,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic_X4/X4/0850.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0850.png,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.739, Avg distance: 52.39)",1418,10308,1048,0.7390691114245416,52.38772683289215,0.9833785891532898,0.0,28.027378451041464,0.03567939833355485,0.10468228161334991,0.0
0851,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic_X4/X4/0851.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0851.png,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.639, Avg distance: 61.67)",1290,9931,824,0.6387596899224807,61.673191971570546,0.9896846413612366,0.75,28.007760146567374,0.035704390310646095,0.0545169822871685,0.75
0852,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic_X4/X4/0852.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0852.png,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.722, Avg distance: 54.23)",553,11331,399,0.7215189873417721,54.23460396907682,0.979118287563324,0.0,30.25346062904097,0.03305406982234878,0.13939249515533447,0.0
0853,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic_X4/X4/0853.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0853.png,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.760, Avg distance: 53.06)",730,6144,555,0.7602739726027398,53.05672221527443,0.993041455745697,0.0,33.02053046404687,0.03028418944053038,0.04888257384300232,0.0
